,index,tconst,primaryTitle,startYear,genres,directorNames,averageRating,numRatings,weightedRating,worldwideBoxOffice
1964,800,tt7975244,Jumanji: The Next Level,2019,"Action,Adventure,Comedy",Jake Kasdan,6.6,302570,0.7072986405709374,801693929
1965,4167,tt7557108,Saint Maud,2019,"Drama,Horror,Mystery",Rose Glass,6.7,51936,0.1232469905375454,
1966,1058,tt6806448,Fast & Furious Presents: Hobbs & Shaw,2019,"Action,Adventure,Thriller",David Leitch,6.5,247631,0.570100459002696,760732926
1967,8235,tt8949056,"Yes, God, Yes",2019,"Comedy,Drama",Karen Maine,6.1,19214,0.0415126677861536,
1968,2570,tt3224458,A Beautiful Day in the Neighborhood,2019,"Biography,Drama,Family",Marielle Heller,7.2,91595,0.2335808776923567,67925733
1969,7456,tt10915286,Tell Me Who I Am,2019,"Documentary,Drama,Mystery",Ed Perkins,7.6,18247,0.0491177073165057,
1970,3085,tt8695030,The Dead Don't Die,2019,"Comedy,Fantasy,Horror",Jim Jarmusch,5.4,96550,0.1846626486805806,
1971,8818,tt8134742,3 from Hell,2019,"Action,Horror",,5.4,19307,0.0369267919013565,
1972,4716,tt7315484,The Silence,2019,"Drama,Horror,Sci-Fi",John R. Leonetti,5.4,53487,0.1022998559293445,
1973,1617,tt1618434,Murder Mystery,2019,"Crime,Mystery,Romance",Kyle Newacheck,6.1,179348,0.3874890154112149,
1974,8516,tt8378126,Queen of Hearts,2019,Drama,May el-Toukhy,7.0,15830,0.039247498130493,
1975,9502,tt6149154,Waiting for the Barbarians,2019,"Drama,History",Ciro Guerra,5.9,15587,0.0325722357623316,
1976,7109,tt10214826,Agent Sai Srinivasa Athreya,2019,"Comedy,Crime,Mystery",Swaroop Rsj,8.3,17998,0.0529097077179558,
1977,10209,tt6772804,Escape Plan: The Extractors,2019,"Action,Crime,Thriller",John Herzfeld,4.4,18263,0.0284615021818577,
1978,838,tt6823368,Glass,2019,"Drama,Horror,Sci-Fi",M. Night Shyamalan,6.6,292277,0.68323734927505,246999039
1979,841,tt6105098,The Lion King,2019,"Adventure,Animation,Drama",,6.8,282647,0.6807479082015009,1656943394
1980,8670,tt0441881,Danger Close,2019,"Action,Drama,War",Kriv Stenders,6.8,15817,0.038094830881004,
1981,9398,tt5598292,Polaroid,2019,"Drama,Horror,Mystery",Lars Klevberg,5.2,17981,0.033116940458432,
1982,4509,tt7485048,Super 30,2019,"Biography,Drama",Vikas Bahl,7.9,39184,0.1096399633362276,24701637
1983,8956,tt5952594,The Mustang,2019,Drama,Laure de Clermont-Tonnerre,6.8,14917,0.0359272044162569,
1984,4630,tt9477520,Asuran,2019,"Action,Drama",Vetrimaaran,8.4,35498,0.1056127117096329,
1985,7793,tt7390588,Little Monsters,2019,"Comedy,Horror,Sci-Fi",Abe Forsythe,6.3,20467,0.0456696582320353,
