,Unnamed: 0,index,tconst,primaryTitle,startYear,genres,directorNames,averageRating,numRatings,weightedRating,releaseDate,poster
1604,7425,7425,tt4823776,The SpongeBob Movie: Sponge on the Run,2020,"Adventure,Animation,Comedy",Tim Hill,5.9,23707,0.049540642408263,2020-08-14,/jlJ8nDhMhCYJuzOw3f52CP1W8MW.jpg
1605,9720,9720,tt6317656,Penguin Bloom,2020,"Biography,Drama,Family",Glendyn Ivin,6.8,13010,0.031334244784843,2021-01-21,/iUn7594Rwfstu5njA8hf9WQIcFi.jpg
1606,4281,4281,tt8522006,Happiest Season,2020,"Comedy,Romance",,6.6,50640,0.1183779064630078,2020-11-26,/vzec9kkOSE93tygyfOktedkeOQ.jpg
1607,1243,1243,tt9770150,Nomadland,2020,Drama,Chloé Zhao,7.3,192820,0.4985491282691827,2021-01-29,/k5XzjWihzum1YgLMlqRDRZDmVMn.jpg
1608,6182,6182,tt10310140,Fatman,2020,"Action,Adventure,Comedy","Eshom Nelms,Ian Nelms",5.9,32136,0.0671547679770507,2020-10-19,/4n8QNNdk4BOX9Dslfbz5Dy6j1HK.jpg
1609,5202,5202,tt9340860,Let Him Go,2020,"Crime,Drama,Thriller",Thomas Bezucha,6.7,37261,0.0884224067009296,2020-11-05,/EsLZoT8oHhQlGd1QpdbnvnwTzO.jpg
1610,4713,4713,tt12749596,Host,2020,"Horror,Mystery",Rob Savage,6.5,44466,0.1023704100456481,2020-12-04,/h7dZpJDORYs5c56dydbrLFkEXpE.jpg
1611,8537,8537,tt11100856,"Love, Guaranteed",2020,"Comedy,Romance",Mark Steven Johnson,5.6,19731,0.0391354332590149,2020-09-02,/6K22JB6fZZLBuM0knfl8rs9Zoxg.jpg
1612,4802,4802,tt8108274,Tanhaji: The Unsung Warrior,2020,"Action,Biography,Drama",Om Raut,7.5,37323,0.0991450031173443,2020-01-10,/fZhgcUVwV7ocglL5XDq4ygsfXqD.jpg
1613,10827,10827,tt6508228,Ghosts of War,2020,"Fantasy,Horror,Thriller",Eric Bress,5.6,12902,0.0255904596780604,2020-07-03,/jR2SSICqmyaVV4lcR3PfNldJBPc.jpg
1614,6429,6429,tt10161886,The Prom,2020,"Comedy,Drama,Musical",,5.9,29977,0.0626430943380647,2020-12-02,/9oHvqd1QL5kaqt6zmCuDmM8esjV.jpg
1615,12148,12148,tt2702920,The Secret Garden,2020,"Drama,Family,Fantasy",Marc Munden,5.6,10582,0.0209888578757739,2020-07-08,/5MSDwUcqnGodFTvtlLiLKK0XKS.jpg
1616,10854,10854,tt10888708,The Sleepover,2020,"Action,Adventure,Comedy",Trish Sie,5.7,12623,0.025484168060075,2020-08-21,/9iEc34Qje2V3FZnrSXKfZsbiHjW.jpg
1617,11444,11444,tt5715066,Mortal,2020,"Action,Adventure,Drama",André Øvredal,5.9,11116,0.0232291635808095,2020-02-28,/aVbqhqYtlxwEGihTEhewZAgDOCX.jpg
1618,6814,6814,tt9059704,An American Pickle,2020,"Comedy,Fantasy",Brandon Trost,5.7,28024,0.0565767508290852,2020-08-06,/8ziUp2q71vCmMgYY2MRCwI3mSs5.jpg
1619,4190,4190,tt10530176,The Call,2020,"Crime,Horror,Mystery",Chung-Hyun Lee,7.1,48292,0.1214413435249179,2020-11-23,/oz8hvZHg7tIdGwh0ErPRhobJKPR.jpg
1620,8931,8931,tt4106514,The Postcard Killings,2020,"Crime,Drama,Mystery",Danis Tanovic,5.8,17571,0.0360958684232034,2020-03-13,/ugLLTEYBuNTqdQ0zCjFCJ5mI44p.jpg
1621,4692,4692,tt2235695,Rebecca,2020,"Drama,Mystery,Romance",Ben Wheatley,6.0,48468,0.1030005093072142,2020-10-16,/kGhllBArW7ImDycSMIG5bj6GEPL.jpg
1622,1363,1363,tt7556122,The Old Guard,2020,"Action,Thriller",Gina Prince-Bythewood,6.7,191771,0.455083152772174,2020-07-10,/cjr4NWURcVN3gW5FlHeabgBHLrY.jpg
1623,8699,8699,tt11958344,A Whisker Away,2020,"Adventure,Animation,Drama","Jun'ichi Satô,Tomotaka Shibayama",6.7,15940,0.0378264985591588,2020-06-18,/6inkRM1XGBG5vRhclCPWfMenp7N.jpg
1624,12094,12094,tt1965308,Interreflections,2020,"Documentary,Drama,Fantasy",Peter Joseph,5.7,10472,0.0211415834528326,2020-01-26,/eGb5HdsCYJCS7jFyAD6uKqri9Vt.jpg
